S0,K,T,r,sigma,steps,dqn_value,dqn_exercise_rate,hold_value,binomial_price,dqn_gap_vs_binomial,moneyness_bucket,maturity_bucket,vol_bucket
70,100,0.25,0.02,0.15,100,30.0,1.0,29.84788631762846,30.0,0.0,ITM put,short (<=0.5y),low vol (<=0.20)
70,100,0.25,0.02,0.25,100,30.0,1.0,30.039066761884474,30.0,0.0,ITM put,short (<=0.5y),high vol (>0.20)
70,100,0.25,0.02,0.4,100,30.0,1.0,30.614643894013078,30.05592948909328,-0.05592948909328044,ITM put,short (<=0.5y),high vol (>0.20)
70,100,0.25,0.05,0.15,100,30.0,1.0,29.071546167888968,30.0,0.0,ITM put,short (<=0.5y),low vol (<=0.20)
70,100,0.25,0.05,0.25,100,30.0,1.0,29.311882300069907,30.0,0.0,ITM put,short (<=0.5y),high vol (>0.20)
70,100,0.25,0.05,0.4,100,30.0,1.0,29.736297308455395,30.0,0.0,ITM put,short (<=0.5y),high vol (>0.20)
70,100,0.5,0.02,0.15,100,30.0,1.0,29.461893448414013,30.0,0.0,ITM put,short (<=0.5y),low vol (<=0.20)
70,100,0.5,0.02,0.25,100,30.0,1.0,29.81039635183691,30.0,0.0,ITM put,short (<=0.5y),high vol (>0.20)
70,100,0.5,0.02,0.4,100,30.0,1.0,31.14162092567465,30.648058702369912,-0.6480587023699123,ITM put,short (<=0.5y),high vol (>0.20)
70,100,0.5,0.05,0.15,100,30.0,1.0,27.95464556359836,30.0,0.0,ITM put,short (<=0.5y),low vol (<=0.20)
70,100,0.5,0.05,0.25,100,30.0,1.0,28.42231983875074,30.0,0.0,ITM put,short (<=0.5y),high vol (>0.20)
70,100,0.5,0.05,0.4,100,30.0,1.0,29.81541033825119,30.19525641529303,-0.19525641529303073,ITM put,short (<=0.5y),high vol (>0.20)
70,100,1.0,0.02,0.15,100,30.0,1.0,28.704820089672896,30.0,0.0,ITM put,long (>0.5y),low vol (<=0.20)
70,100,1.0,0.02,0.25,100,30.0,1.0,29.738246709942892,30.047369884112822,-0.047369884112821836,ITM put,long (>0.5y),high vol (>0.20)
70,100,1.0,0.02,0.4,100,30.0,1.0,32.99581142692438,32.29022153820274,-2.2902215382027435,ITM put,long (>0.5y),high vol (>0.20)
70,100,1.0,0.05,0.15,100,30.0,1.0,25.769384281995137,30.0,0.0,ITM put,long (>0.5y),low vol (<=0.20)
