S0,K,T,r,sigma,steps,binomial_price,nn_price,nn_error,moneyness_bucket,maturity_bucket,vol_bucket
70,100,0.25,0.02,0.15,100,30.0,29.84478759765625,-0.15521240234375,ITM put,short (<=0.5y),low vol (<=0.20)
70,100,0.25,0.02,0.25,100,30.0,29.94500160217285,-0.05499839782714844,ITM put,short (<=0.5y),high vol (>0.20)
70,100,0.25,0.02,0.4,100,30.05592948909328,30.33885955810547,0.2829300690121883,ITM put,short (<=0.5y),high vol (>0.20)
70,100,0.25,0.05,0.15,100,30.0,29.81924057006836,-0.18075942993164062,ITM put,short (<=0.5y),low vol (<=0.20)
70,100,0.25,0.05,0.25,100,30.0,30.02495574951172,0.02495574951171875,ITM put,short (<=0.5y),high vol (>0.20)
70,100,0.25,0.05,0.4,100,30.0,30.1083984375,0.1083984375,ITM put,short (<=0.5y),high vol (>0.20)
70,100,0.5,0.02,0.15,100,30.0,29.841472625732422,-0.15852737426757812,ITM put,short (<=0.5y),low vol (<=0.20)
70,100,0.5,0.02,0.25,100,30.0,29.90149688720703,-0.09850311279296875,ITM put,short (<=0.5y),high vol (>0.20)
70,100,0.5,0.02,0.4,100,30.648058702369912,30.728961944580078,0.08090324221016587,ITM put,short (<=0.5y),high vol (>0.20)
70,100,0.5,0.05,0.15,100,30.0,29.89215087890625,-0.10784912109375,ITM put,short (<=0.5y),low vol (<=0.20)
70,100,0.5,0.05,0.25,100,30.0,30.01893424987793,0.018934249877929688,ITM put,short (<=0.5y),high vol (>0.20)
70,100,0.5,0.05,0.4,100,30.19525641529303,30.34602928161621,0.1507728663231802,ITM put,short (<=0.5y),high vol (>0.20)
70,100,1.0,0.02,0.15,100,30.0,29.986913681030273,-0.013086318969726562,ITM put,long (>0.5y),low vol (<=0.20)
70,100,1.0,0.02,0.25,100,30.047369884112822,30.14350700378418,0.09613711967135785,ITM put,long (>0.5y),high vol (>0.20)
70,100,1.0,0.02,0.4,100,32.29022153820274,32.1151123046875,-0.17510923351524355,ITM put,long (>0.5y),high vol (>0.20)
70,100,1.0,0.05,0.15,100,30.0,29.834760665893555,-0.1652393341064453,ITM put,long (>0.5y),low vol (<=0.20)
70,100,1.0,0.05,0.25,100,30.0,29.919578552246094,-0.08042144775390625,ITM put,long (>0.5y),high vol (>0.20)
70,100,1.0,0.05,0.4,100,31.167568679898743,31.279857635498047,0.11228895559930407,ITM put,long (>0.5y),high vol (>0.20)
70,100,2.0,0.02,0.15,100,30.0,30.024961471557617,0.024961471557617188,ITM put,long (>0.5y),low vol (<=0.20)
70,100,2.0,0.02,0.25,100,30.67673947590067,30.85074234008789,0.17400286418721933,ITM put,long (>0.5y),high vol (>0.20)
70,100,2.0,0.02,0.4,100,35.2823173233977,35.39863204956055,0.1163147261628481,ITM put,long (>0.5y),high vol (>0.20)
70,100,2.0,0.05,0.15,100,30.0,29.962623596191406,-0.03737640380859375,ITM put,long (>0.5y),low vol (<=0.20)
70,100,2.0,0.05,0.25,100,30.0,29.962955474853516,-0.037044525146484375,ITM put,long (>0.5y),high vol (>0.20)
70,100,2.0,0.05,0.4,100,33.048074927593674,33.13654708862305,0.08847216102937239,ITM put,long (>0.5y),high vol (>0.20)
80,100,0.25,0.02,0.15,100,20.0,19.934043884277344,-0.06595611572265625,ITM put,short (<=0.5y),low vol (<=0.20)
80,100,0.25,0.02,0.25,100,20.00930772908251,20.075801849365234,0.06649412028272295,ITM put,short (<=0.5y),high vol (>0.20)
80,100,0.25,0.02,0.4,100,20.899080580463618,20.9818172454834,0.08273666501978028,ITM put,short (<=0.5y),high vol (>0.20)
80,100,0.25,0.05,0.15,100,20.0,19.903440475463867,-0.09655952453613281,ITM put,short (<=0.5y),low vol (<=0.20)
80,100,0.25,0.05,0.25,100,20.0,19.87152099609375,-0.12847900390625,ITM put,short (<=0.5y),high vol (>0.20)
80,100,0.25,0.05,0.4,100,20.56945149379886,20.68975067138672,0.12029917758786013,ITM put,short (<=0.5y),high vol (>0.20)
80,100,0.5,0.02,0.15,100,20.0,19.9686279296875,-0.0313720703125,ITM put,short (<=0.5y),low vol (<=0.20)
80,100,0.5,0.02,0.25,100,20.308268116218898,20.319931030273438,0.011662914054539897,ITM put,short (<=0.5y),high vol (>0.20)
80,100,0.5,0.02,0.4,100,22.486079904357695,22.376766204833984,-0.10931369952371028,ITM put,short (<=0.5y),high vol (>0.20)
80,100,0.5,0.05,0.15,100,20.0,20.034648895263672,0.034648895263671875,ITM put,short (<=0.5y),low vol (<=0.20)
80,100,0.5,0.05,0.25,100,20.012689180410117,19.803983688354492,-0.20870549205562483,ITM put,short (<=0.5y),high vol (>0.20)
80,100,0.5,0.05,0.4,100,21.795311686228867,21.599313735961914,-0.19599795026695332,ITM put,short (<=0.5y),high vol (>0.20)
80,100,1.0,0.02,0.15,100,20.0,19.90520668029785,-0.09479331970214844,ITM put,long (>0.5y),low vol (<=0.20)
80,100,1.0,0.02,0.25,100,21.25568690555667,21.17969512939453,-0.07599177616213737,ITM put,long (>0.5y),high vol (>0.20)
80,100,1.0,0.02,0.4,100,25.272244380330807,25.332483291625977,0.06023891129516912,ITM put,long (>0.5y),high vol (>0.20)
80,100,1.0,0.05,0.15,100,20.0,19.9027099609375,-0.0972900390625,ITM put,long (>0.5y),low vol (<=0.20)
80,100,1.0,0.05,0.25,100,20.363958357224497,20.236648559570312,-0.12730979765418482,ITM put,long (>0.5y),high vol (>0.20)
80,100,1.0,0.05,0.4,100,23.93792039746761,24.001739501953125,0.06381910448551409,ITM put,long (>0.5y),high vol (>0.20)
80,100,2.0,0.02,0.15,100,20.07888569800003,20.331090927124023,0.25220522912399446,ITM put,long (>0.5y),low vol (<=0.20)
80,100,2.0,0.02,0.25,100,23.035598891304886,23.003591537475586,-0.0320073538293002,ITM put,long (>0.5y),high vol (>0.20)
80,100,2.0,0.02,0.4,100,29.35602857233389,29.49142074584961,0.13539217351571864,ITM put,long (>0.5y),high vol (>0.20)
80,100,2.0,0.05,0.15,100,20.0,19.759244918823242,-0.2407550811767578,ITM put,long (>0.5y),low vol (<=0.20)
80,100,2.0,0.05,0.25,100,21.206256886018867,21.205459594726562,-0.0007972912923044362,ITM put,long (>0.5y),high vol (>0.20)
80,100,2.0,0.05,0.4,100,26.91327304798249,27.02376937866211,0.11049633067962006,ITM put,long (>0.5y),high vol (>0.20)
90,100,0.25,0.02,0.15,100,10.052597653017546,9.969072341918945,-0.08352531109860095,ITM put,short (<=0.5y),low vol (<=0.20)
90,100,0.25,0.02,0.25,100,11.032963039642631,10.85287094116211,-0.18009209848052166,ITM put,short (<=0.5y),high vol (>0.20)
90,100,0.25,0.02,0.4,100,13.309982258943371,13.460587501525879,0.15060524258250751,ITM put,short (<=0.5y),high vol (>0.20)
90,100,0.25,0.05,0.15,100,10.0,10.016261100769043,0.01626110076904297,ITM put,short (<=0.5y),low vol (<=0.20)
90,100,0.25,0.05,0.25,100,10.698239336171584,10.722723960876465,0.024484624704880886,ITM put,short (<=0.5y),high vol (>0.20)
90,100,0.25,0.05,0.4,100,12.924683349341393,12.947834014892578,0.023150665551185057,ITM put,short (<=0.5y),high vol (>0.20)
90,100,0.5,0.02,0.15,100,10.363276972272919,10.286144256591797,-0.07713271568112212,ITM put,short (<=0.5y),low vol (<=0.20)
90,100,0.5,0.02,0.25,100,12.280144706992399,12.263588905334473,-0.01655580165792614,ITM put,short (<=0.5y),high vol (>0.20)
90,100,0.5,0.02,0.4,100,15.855358987965543,15.818284034729004,-0.03707495323653909,ITM put,short (<=0.5y),high vol (>0.20)
90,100,0.5,0.05,0.15,100,10.032506586240137,9.978877067565918,-0.05362951867421906,ITM put,short (<=0.5y),low vol (<=0.20)
90,100,0.5,0.05,0.25,100,11.634238474332996,11.838113784790039,0.2038753104570432,ITM put,short (<=0.5y),high vol (>0.20)
90,100,0.5,0.05,0.4,100,15.136779850648857,15.059297561645508,-0.07748228900334908,ITM put,short (<=0.5y),high vol (>0.20)
90,100,1.0,0.02,0.15,100,11.06714542067987,11.044880867004395,-0.022264553675475085,ITM put,long (>0.5y),low vol (<=0.20)
90,100,1.0,0.02,0.25,100,14.23315365157262,14.181652069091797,-0.051501582480822705,ITM put,long (>0.5y),high vol (>0.20)
90,100,1.0,0.02,0.4,100,19.534496355611147,19.680112838745117,0.14561648313397058,ITM put,long (>0.5y),high vol (>0.20)
90,100,1.0,0.05,0.15,100,10.267212382417135,10.271688461303711,0.004476078886575863,ITM put,long (>0.5y),low vol (<=0.20)
90,100,1.0,0.05,0.25,100,13.041361238505246,13.011963844299316,-0.029397394205929572,ITM put,long (>0.5y),high vol (>0.20)
90,100,1.0,0.05,0.4,100,18.19624148273132,18.19361686706543,-0.0026246156658906727,ITM put,long (>0.5y),high vol (>0.20)
90,100,2.0,0.02,0.15,100,12.191020496094374,12.23815631866455,0.047135822570176344,ITM put,long (>0.5y),low vol (<=0.20)
90,100,2.0,0.02,0.25,100,16.983931008814782,16.883209228515625,-0.1007217802991569,ITM put,long (>0.5y),high vol (>0.20)
90,100,2.0,0.02,0.4,100,24.430301543309803,24.461471557617188,0.031170014307384974,ITM put,long (>0.5y),high vol (>0.20)
90,100,2.0,0.05,0.15,100,10.675350247724406,10.753711700439453,0.07836145271504691,ITM put,long (>0.5y),low vol (<=0.20)
90,100,2.0,0.05,0.25,100,14.846898344043954,14.871526718139648,0.02462837409569474,ITM put,long (>0.5y),high vol (>0.20)
90,100,2.0,0.05,0.4,100,21.975070621999215,22.058134078979492,0.08306345698027684,ITM put,long (>0.5y),high vol (>0.20)
100,100,0.25,0.02,0.15,100,2.7727900390853617,2.6709651947021484,-0.10182484438321326,ATM,short (<=0.5y),low vol (<=0.20)
100,100,0.25,0.02,0.25,100,4.750174380375186,4.487389087677002,-0.26278529269818396,ATM,short (<=0.5y),high vol (>0.20)
100,100,0.25,0.02,0.4,100,7.714949486383633,7.684875011444092,-0.030074474939540963,ATM,short (<=0.5y),high vol (>0.20)
100,100,0.25,0.05,0.15,100,2.5010522003914786,2.222491502761841,-0.27856069762963775,ATM,short (<=0.5y),low vol (<=0.20)
100,100,0.25,0.05,0.25,100,4.452835798340915,4.308922290802002,-0.14391350753891263,ATM,short (<=0.5y),high vol (>0.20)
100,100,0.25,0.05,0.4,100,7.395764515489214,7.516708850860596,0.12094433537138194,ATM,short (<=0.5y),high vol (>0.20)
100,100,0.5,0.02,0.15,100,3.8042263940003167,3.6828043460845947,-0.12142204791572198,ATM,short (<=0.5y),low vol (<=0.20)
